"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2019,"Alabama","Natural resources and mining",1846,18939,1070584983,1087,56529
2019,"Alabama","Construction",10069,93619,5255826512,1080,56141
2019,"Alabama","Manufacturing",5677,268948,15741980056,1126,58532
2019,"Alabama","Trade, transportation, and utilities",32423,380193,16510099753,835,43426
2019,"Alabama","Information",2309,21296,1338323354,1209,62845
2019,"Alabama","Financial activities",13590,95053,6755965565,1367,71076
2019,"Alabama","Professional and business services",22186,251073,14326462151,1097,57061
2019,"Alabama","Education and health services",13692,238078,11376418825,919,47785
2019,"Alabama","Leisure and hospitality",11180,208446,3672389684,339,17618
2019,"Alabama","Other services",10189,46816,1807422038,742,38607
2019,"Alaska","Natural resources and mining",540,14657,1914228370,2512,130600
2019,"Alaska","Construction",2450,16396,1332305338,1563,81257
2019,"Alaska","Manufacturing",592,13065,688781885,1014,52718
2019,"Alaska","Trade, transportation, and utilities",4318,64591,3177812841,946,49199
2019,"Alaska","Information",387,5342,361730128,1302,67720
2019,"Alaska","Financial activities",1407,11367,691295848,1170,60818
2019,"Alaska","Professional and business services",3491,27690,1814117177,1260,65515
2019,"Alaska","Education and health services",2590,50050,2770005936,1064,55345
2019,"Alaska","Leisure and hospitality",2687,36224,910313119,483,25130
2019,"Alaska","Other services",1664,9872,403446106,786,40868
2019,"Alaska","Unclassified",38,46,1869603,782,40644
2019,"Arizona","Natural resources and mining",1358,37970,1984385939,1005,52262
2019,"Arizona","Construction",13677,171309,10042249905,1127,58621
2019,"Arizona","Manufacturing",5157,177610,14025118505,1519,78966
2019,"Arizona","Trade, transportation, and utilities",33190,541793,26018666912,924,48023
2019,"Arizona","Information",3691,49188,3827885511,1497,77822
2019,"Arizona","Financial activities",19357,223263,16661550488,1435,74627
2019,"Arizona","Professional and business services",38940,445648,26245178083,1133,58892
2019,"Arizona","Education and health services",19924,457984,24104606963,1012,52632
2019,"Arizona","Leisure and hospitality",14256,331295,8466785875,491,25557
2019,"Arizona","Other services",10674,75782,3028657151,769,39965
2019,"Arizona","Unclassified",1889,1196,65440295,1052,54705
2019,"Arkansas","Natural resources and mining",2577,16390,791619018,929,48299
2019,"Arkansas","Construction",7093,52538,2602793022,953,49541
2019,"Arkansas","Manufacturing",2930,162214,7981241823,946,49202
2019,"Arkansas","Trade, transportation, and utilities",21821,248631,10665532959,825,42897
2019,"Arkansas","Information",1303,10974,636305531,1115,57981
2019,"Arkansas","Financial activities",8591,51934,3126340012,1158,60198
2019,"Arkansas","Professional and business services",14911,145841,9239539223,1218,63354
2019,"Arkansas","Education and health services",15780,187607,8251495435,846,43983
2019,"Arkansas","Leisure and hospitality",7315,120644,2087045372,333,17299
2019,"Arkansas","Other services",5359,25279,912930040,695,36115
2019,"California","Natural resources and mining",17663,443581,17852176061,774,40246
2019,"California","Construction",84247,885668,64957714046,1410,73343
2019,"California","Manufacturing",44539,1322455,129893887153,1889,98222
2019,"California","Trade, transportation, and utilities",198955,3042089,167035136130,1056,54908
2019,"California","Information",28529,550084,105218867049,3678,191278
2019,"California","Financial activities",109980,841829,94922425650,2168,112757
2019,"California","Professional and business services",215691,2723437,259673224091,1834,95348
2019,"California","Education and health services",639529,2734574,147417298171,1037,53909
2019,"California","Leisure and hospitality",116191,2034920,65887809952,623,32379
2019,"California","Other services",97442,547972,23175484367,813,42293
2019,"California","Unclassified",337,970,50612912,1003,52169
2019,"Colorado","Natural resources and mining",3279,48392,4371167960,1737,90328
2019,"Colorado","Construction",20430,178880,11556232731,1242,64603
2019,"Colorado","Manufacturing",5849,150109,11098269089,1422,73935
2019,"Colorado","Trade, transportation, and utilities",36041,474011,24968518293,1013,52675
2019,"Colorado","Information",4330,76292,8344841899,2103,109380
2019,"Colorado","Financial activities",24028,167272,14822538607,1704,88613
2019,"Colorado","Professional and business services",55003,439613,38016597369,1663,86477
2019,"Colorado","Education and health services",21747,341496,17621344015,992,51600
2019,"Colorado","Leisure and hospitality",17317,344935,9358430763,522,27131
2019,"Colorado","Other services",17008,84571,3584224085,815,42381
2019,"Colorado","Unclassified",2544,2562,169147464,1269,66013
2019,"Connecticut","Natural resources and mining",437,5258,217936503,797,41449
