"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2017,"Alabama","Natural resources and mining",1815,17999,949424301,1014,52748
2017,"Alabama","Construction",9645,85262,4453218100,1004,52230
2017,"Alabama","Manufacturing",5447,263487,14543812862,1061,55197
2017,"Alabama","Trade, transportation, and utilities",32410,375653,15220515239,779,40518
2017,"Alabama","Information",1969,20807,1226186264,1133,58932
2017,"Alabama","Financial activities",13089,94756,6284582761,1275,66324
2017,"Alabama","Professional and business services",21426,239356,12871039299,1034,53774
2017,"Alabama","Education and health services",12429,229821,10489193057,878,45641
2017,"Alabama","Leisure and hospitality",10741,202336,3282307077,312,16222
2017,"Alabama","Other services",9603,45296,1655070132,703,36539
2017,"Alaska","Natural resources and mining",494,13981,1705065980,2345,121959
2017,"Alaska","Construction",2435,15162,1136196969,1441,74936
2017,"Alaska","Manufacturing",546,13217,649152815,945,49114
2017,"Alaska","Trade, transportation, and utilities",4229,64486,2934749031,875,45510
2017,"Alaska","Information",368,5985,381543473,1226,63748
2017,"Alaska","Financial activities",1381,11651,661580266,1092,56785
2017,"Alaska","Professional and business services",3359,27875,1715333776,1183,61538
2017,"Alaska","Education and health services",2492,48848,2491359374,981,51002
2017,"Alaska","Leisure and hospitality",2591,35371,835719034,454,23627
2017,"Alaska","Other services",1658,10001,393034449,756,39298
2017,"Alaska","Unclassified",252,276,10539611,735,38199
2017,"Arizona","Natural resources and mining",1257,37216,1753445740,906,47116
2017,"Arizona","Construction",11368,144747,7735292428,1028,53440
2017,"Arizona","Manufacturing",4657,162399,11940834674,1414,73528
2017,"Arizona","Trade, transportation, and utilities",29489,518475,23396840249,868,45126
2017,"Arizona","Information",2461,44962,3200000227,1369,71171
2017,"Arizona","Financial activities",15754,206540,14056976948,1309,68059
2017,"Arizona","Professional and business services",31059,417456,23099361022,1064,55334
2017,"Arizona","Education and health services",16509,420129,21107444209,966,50240
2017,"Arizona","Leisure and hospitality",12771,317076,7452880402,452,23505
2017,"Arizona","Other services",10297,71320,2643186130,713,37061
2017,"Arizona","Unclassified",19249,19891,1036424367,1002,52106
2017,"Arkansas","Natural resources and mining",2551,16476,761044255,888,46191
2017,"Arkansas","Construction",6817,51130,2417613085,909,47283
2017,"Arkansas","Manufacturing",2928,157305,7356567305,899,46766
