"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2016,"Alabama","Natural resources and mining",1806,17369,856279486,948,49300
2016,"Alabama","Construction",9394,84105,4250189880,972,50534
2016,"Alabama","Manufacturing",5286,260476,14126324910,1043,54233
2016,"Alabama","Trade, transportation, and utilities",32012,376942,14897537174,760,39522
2016,"Alabama","Information",1784,20691,1182648960,1099,57157
2016,"Alabama","Financial activities",12862,93470,5971336248,1229,63885
2016,"Alabama","Professional and business services",20964,233850,12160970474,1000,52003
2016,"Alabama","Education and health services",12265,226666,10136443448,860,44720
2016,"Alabama","Leisure and hospitality",10452,197415,3132781162,305,15869
2016,"Alabama","Other services",9209,44558,1583433107,683,35536
2016,"Alaska","Natural resources and mining",478,15321,1888274805,2370,123244
2016,"Alaska","Construction",2473,16228,1260328988,1494,77665
2016,"Alaska","Manufacturing",533,13576,648633993,919,47780
2016,"Alaska","Trade, transportation, and utilities",4221,65294,2911065185,857,44584
2016,"Alaska","Information",385,6279,394138584,1207,62769
2016,"Alaska","Financial activities",1387,11743,653914158,1071,55685
2016,"Alaska","Professional and business services",3360,28446,1746355509,1181,61391
2016,"Alaska","Education and health services",2457,47687,2368269502,955,49662
2016,"Alaska","Leisure and hospitality",2526,35274,822361604,448,23314
2016,"Alaska","Other services",1724,9923,383431296,743,38642
2016,"Alaska","Unclassified",399,484,20103489,799,41572
2016,"Arizona","Natural resources and mining",1256,36848,1641029098,856,44535
2016,"Arizona","Construction",11088,134049,6806782977,977,50778
2016,"Arizona","Manufacturing",4577,158693,11476943984,1391,72322
2016,"Arizona","Trade, transportation, and utilities",29345,510426,22301383141,840,43692
2016,"Arizona","Information",2346,44917,3107349094,1330,69180
2016,"Arizona","Financial activities",15295,197531,13132680363,1279,66484
2016,"Arizona","Professional and business services",29817,409984,21876392175,1026,53359
2016,"Arizona","Education and health services",16019,405461,19774755272,938,48771
2016,"Arizona","Leisure and hospitality",12245,306767,6815886124,427,22218
2016,"Arizona","Other services",9994,70644,2444413181,665,34602
2016,"Arizona","Unclassified",17564,19033,956269877,966,50244
2016,"Arkansas","Natural resources and mining",2589,16929,773151039,878,45672
2016,"Arkansas","Construction",6700,50284,2301175423,880,45763
2016,"Arkansas","Manufacturing",2933,154774,7018520174,872,45347
2016,"Arkansas","Trade, transportation, and utilities",21432,249007,9708242141,750,38988
2016,"Arkansas","Information",1094,13238,726125188,1055,54853
2016,"Arkansas","Financial activities",8201,49412,2697539277,1050,54593
2016,"Arkansas","Professional and business services",13749,142371,7966862215,1076,55958
2016,"Arkansas","Education and health services",15275,178005,7239445576,782,40670
2016,"Arkansas","Leisure and hospitality",6888,115273,1793364801,299,15558
2016,"Arkansas","Other services",5338,24698,797911083,621,32307
2016,"California","Natural resources and mining",16956,445886,16647933808,718,37337
2016,"California","Construction",70000,769670,49622529524,1240,64472
2016,"California","Manufacturing",41210,1294761,112850738001,1676,87160
2016,"California","Trade, transportation, and utilities",181543,2954269,146067851528,951,49443
